time,CSC_count,PC_count,mean_nutrient
1.452444170576323586e+03,1.400000000000000000e+01,2.310000000000000000e+02,1.066147992685061362e+121
1.452517515825657483e+03,1.400000000000000000e+01,2.300000000000000000e+02,1.064922708618528127e+121
1.452523584157055666e+03,1.400000000000000000e+01,2.310000000000000000e+02,1.064821449374359496e+121
1.452531047195311203e+03,1.400000000000000000e+01,2.310000000000000000e+02,1.064696929188045183e+121
1.452737602474776168e+03,1.500000000000000000e+01,2.310000000000000000e+02,1.061250974166635073e+121
1.452924879708100434e+03,1.500000000000000000e+01,2.310000000000000000e+02,1.058136746275615705e+121
1.453121116114211645e+03,1.500000000000000000e+01,2.300000000000000000e+02,1.054883112398818350e+121
1.453138741184954597e+03,1.500000000000000000e+01,2.290000000000000000e+02,1.054591784208036506e+121
1.453292139018077023e+03,1.500000000000000000e+01,2.300000000000000000e+02,1.052056942106971270e+121
1.453354408164633014e+03,1.500000000000000000e+01,2.310000000000000000e+02,1.051030440903045456e+121
1.453376717096181665e+03,1.500000000000000000e+01,2.310000000000000000e+02,1.050663039027711785e+121
1.453496081496816487e+03,1.500000000000000000e+01,2.300000000000000000e+02,1.048697934847715931e+121
1.453553498973241403e+03,1.500000000000000000e+01,2.310000000000000000e+02,1.047754435038454018e+121
1.453597587629609734e+03,1.500000000000000000e+01,2.320000000000000000e+02,1.047030609879102319e+121
1.453629720786446114e+03,1.500000000000000000e+01,2.320000000000000000e+02,1.046503428483617910e+121
1.453748582281185691e+03,1.500000000000000000e+01,2.320000000000000000e+02,1.044554350812961891e+121
1.453894149559522930e+03,1.500000000000000000e+01,2.310000000000000000e+02,1.042171800351289769e+121
1.454056901615212382e+03,1.500000000000000000e+01,2.300000000000000000e+02,1.039514056613352298e+121
1.454079855774299858e+03,1.500000000000000000e+01,2.310000000000000000e+02,1.039140170739631662e+121
1.454106495229499615e+03,1.500000000000000000e+01,2.310000000000000000e+02,1.038706413460481495e+121
1.454400656567761416e+03,1.500000000000000000e+01,2.310000000000000000e+02,1.033918726914820085e+121
1.454541780601929077e+03,1.500000000000000000e+01,2.310000000000000000e+02,1.031632419170293744e+121
1.454688739336841536e+03,1.500000000000000000e+01,2.300000000000000000e+02,1.029256849951436607e+121
1.454703344951252575e+03,1.500000000000000000e+01,2.290000000000000000e+02,1.029021295725394764e+121
1.454864495837895902e+03,1.500000000000000000e+01,2.300000000000000000e+02,1.026422905552082772e+121
1.454873169527922528e+03,1.500000000000000000e+01,2.300000000000000000e+02,1.026283404482980659e+121
1.454982957044706836e+03,1.500000000000000000e+01,2.300000000000000000e+02,1.024517905094236047e+121
1.455003482424335289e+03,1.500000000000000000e+01,2.300000000000000000e+02,1.024188403094721976e+121
1.455008491832705204e+03,1.500000000000000000e+01,2.300000000000000000e+02,1.024108010953847935e+121
1.455062514416462818e+03,1.500000000000000000e+01,2.290000000000000000e+02,1.023241112121371143e+121
1.455135693851689894e+03,1.500000000000000000e+01,2.280000000000000000e+02,1.022067797891863164e+121
1.455237637240149979e+03,1.500000000000000000e+01,2.290000000000000000e+02,1.020435174279654669e+121
1.455425038563181943e+03,1.600000000000000000e+01,2.290000000000000000e+02,1.017438735727346862e+121
1.455453189350479761e+03,1.600000000000000000e+01,2.290000000000000000e+02,1.016989942683875366e+121
1.455553428673936196e+03,1.600000000000000000e+01,2.290000000000000000e+02,1.015392585320490267e+121
1.455624841771029878e+03,1.600000000000000000e+01,2.280000000000000000e+02,1.014256373876526298e+121
1.455665382957872680e+03,1.600000000000000000e+01,2.280000000000000000e+02,1.013612068868085110e+121
1.455713737734028200e+03,1.600000000000000000e+01,2.280000000000000000e+02,1.012844073760667247e+121
1.455723181378846220e+03,1.600000000000000000e+01,2.290000000000000000e+02,1.012694198642290547e+121
1.455835613600788975e+03,1.600000000000000000e+01,2.300000000000000000e+02,1.010910110039897387e+121
1.455896663506772256e+03,1.600000000000000000e+01,2.300000000000000000e+02,1.009943069139779071e+121
1.455926127381064589e+03,1.600000000000000000e+01,2.290000000000000000e+02,1.009476802816317446e+121
1.456081537895517386e+03,1.600000000000000000e+01,2.290000000000000000e+02,1.007018564153980807e+121
1.456184409831404537e+03,1.600000000000000000e+01,2.300000000000000000e+02,1.005395328054220383e+121
1.456277567872530426e+03,1.600000000000000000e+01,2.310000000000000000e+02,1.003927738831554930e+121
1.456286249620722401e+03,1.600000000000000000e+01,2.320000000000000000e+02,1.003791168317991580e+121
1.456296428089647179e+03,1.600000000000000000e+01,2.310000000000000000e+02,1.003631075028414311e+121
1.456397817682946879e+03,1.600000000000000000e+01,2.320000000000000000e+02,1.002036610786951425e+121
1.456449668321842182e+03,1.600000000000000000e+01,2.320000000000000000e+02,1.001222497196705920e+121
1.456472303596841130e+03,1.600000000000000000e+01,2.330000000000000000e+02,1.000867386562571130e+121
1.456683750905873922e+03,1.600000000000000000e+01,2.340000000000000000e+02,9.975512988941695954e+120
1.456984127654706072e+03,1.600000000000000000e+01,2.340000000000000000e+02,9.928561555714436481e+120
1.457017297381363505e+03,1.600000000000000000e+01,2.330000000000000000e+02,9.923401248847120571e+120
1.457077144474527131e+03,1.600000000000000000e+01,2.340000000000000000e+02,9.914095508799080909e+120
1.457336074178980653e+03,1.600000000000000000e+01,2.350000000000000000e+02,9.873871784690536211e+120
1.457391460576200188e+03,1.600000000000000000e+01,2.350000000000000000e+02,9.865302631580717905e+120
1.457511733380013538e+03,1.600000000000000000e+01,2.340000000000000000e+02,9.846710672667376826e+120
1.457599211891850246e+03,1.600000000000000000e+01,2.350000000000000000e+02,9.833213591280754916e+120
1.458049195029047496e+03,1.600000000000000000e+01,2.360000000000000000e+02,9.764002961730478628e+120
1.458121787627170079e+03,1.600000000000000000e+01,2.360000000000000000e+02,9.752896709152933579e+120
1.458148076477179529e+03,1.600000000000000000e+01,2.370000000000000000e+02,9.748879240317976989e+120
1.458215100497278399e+03,1.600000000000000000e+01,2.380000000000000000e+02,9.738640831491345963e+120
1.458261837133712334e+03,1.600000000000000000e+01,2.380000000000000000e+02,9.731508966621296595e+120
1.458349043721930229e+03,1.600000000000000000e+01,2.380000000000000000e+02,9.718211258803323743e+120
1.458388961094067326e+03,1.600000000000000000e+01,2.380000000000000000e+02,9.712132770550362033e+120
