time_h,CSC_count,PC_count,mean_nutrient
2.600000000000000000e+02,9.000000000000000000e+00,6.900000000000000000e+01,5.384008311518101442e-01
2.610000000000000000e+02,9.000000000000000000e+00,6.900000000000000000e+01,5.381188990412890671e-01
2.620000000000000000e+02,9.000000000000000000e+00,6.900000000000000000e+01,5.378356807446437182e-01
2.630000000000000000e+02,9.000000000000000000e+00,7.000000000000000000e+01,5.375500674494618769e-01
2.640000000000000000e+02,9.000000000000000000e+00,7.000000000000000000e+01,5.372656782604748882e-01
2.650000000000000000e+02,9.000000000000000000e+00,7.100000000000000000e+01,5.369915003716034807e-01
2.660000000000000000e+02,9.000000000000000000e+00,7.100000000000000000e+01,5.367146879236458501e-01
2.670000000000000000e+02,9.000000000000000000e+00,7.100000000000000000e+01,5.364390075747791364e-01
2.680000000000000000e+02,9.000000000000000000e+00,7.100000000000000000e+01,5.361649213846219064e-01
2.690000000000000000e+02,9.000000000000000000e+00,7.100000000000000000e+01,5.358917676661890672e-01
2.700000000000000000e+02,9.000000000000000000e+00,7.100000000000000000e+01,5.356299638284954812e-01
2.710000000000000000e+02,9.000000000000000000e+00,7.100000000000000000e+01,5.353692249061456909e-01
2.720000000000000000e+02,9.000000000000000000e+00,7.100000000000000000e+01,5.351171949711998055e-01
2.730000000000000000e+02,9.000000000000000000e+00,7.300000000000000000e+01,5.348693146714842417e-01
2.740000000000000000e+02,9.000000000000000000e+00,7.700000000000000000e+01,5.346133902293277451e-01
2.750000000000000000e+02,9.000000000000000000e+00,8.000000000000000000e+01,5.343333140368942136e-01
2.760000000000000000e+02,9.000000000000000000e+00,8.000000000000000000e+01,5.340435812683503869e-01
2.770000000000000000e+02,9.000000000000000000e+00,8.200000000000000000e+01,5.337509328987305457e-01
2.780000000000000000e+02,9.000000000000000000e+00,8.200000000000000000e+01,5.334526245633796071e-01
2.790000000000000000e+02,9.000000000000000000e+00,8.300000000000000000e+01,5.331607929901952536e-01
2.800000000000000000e+02,9.000000000000000000e+00,8.300000000000000000e+01,5.328674705978354575e-01
2.810000000000000000e+02,9.000000000000000000e+00,8.400000000000000000e+01,5.325797789919501923e-01
2.820000000000000000e+02,9.000000000000000000e+00,8.500000000000000000e+01,5.322911488482067188e-01
